elapsed_S,supply_V,current_A,BMF_resistance
3.002824398000484507e+00,4.727902832031250391e+00,9.465380859374999956e-02,4.994941991529577052e+01
3.036993305000578403e+00,4.729111328124999680e+00,9.487646484374999412e-02,4.984493610626482507e+01
3.071047993000320275e+00,4.730290527343750107e+00,9.644921874999999589e-02,4.904436333076829868e+01
3.105113125000571017e+00,4.732658691406250284e+00,9.288183593750000411e-02,5.095354375413990056e+01
3.139434046000133094e+00,4.729545898437500284e+00,9.513867187499999711e-02,4.971212867730081797e+01
3.173574159000054351e+00,4.759609375000000142e+00,9.230224609374999833e-02,5.156547729256487145e+01
3.208718856000814412e+00,4.727753906250000249e+00,9.336767578125000633e-02,5.063587442539104444e+01
3.242839543000627600e+00,4.729755859375000426e+00,9.778906249999999578e-02,4.836692098745706403e+01
3.276837364000130037e+00,4.728339843749999716e+00,9.257421875000000633e-02,5.107620574707792827e+01
3.310706520000167075e+00,4.728354492187500036e+00,9.400732421874999356e-02,5.029772447500870669e+01
3.344621676000315347e+00,4.735405273437500284e+00,9.431738281250000300e-02,5.020713183752498310e+01
3.378622033000283409e+00,4.726113281249999964e+00,9.451611328124999434e-02,5.000325465337941466e+01
3.412767275000078371e+00,4.727412109374999893e+00,9.487646484374999412e-02,4.982702630373584185e+01
3.446826889000476513e+00,4.730026855468749680e+00,9.824902343749999933e-02,4.814324549981611057e+01
3.480714749000071606e+00,4.727849121093750107e+00,9.140820312500000377e-02,5.172237238520544622e+01
3.514568814000085695e+00,4.729653320312499964e+00,9.699462890625000500e-02,4.876201263560623289e+01
3.548764536000817316e+00,4.729248046875000000e+00,9.198681640625000488e-02,5.141223744486142522e+01
3.582687006000014662e+00,4.728276367187500107e+00,9.435058593749999500e-02,5.011390570822336343e+01
3.616541626000071119e+00,4.732307128906249716e+00,9.330468749999999700e-02,5.071885728041530683e+01
3.650713849000567279e+00,4.727797851562500320e+00,9.502929687500000222e-02,4.975095057034220503e+01
3.684397122000518721e+00,4.729389648437500426e+00,9.482519531249999911e-02,4.987482106260492287e+01
3.718217186999936530e+00,4.730698242187499680e+00,9.245507812500000644e-02,5.116753279675517518e+01
3.751982569000574586e+00,4.729440917968750213e+00,9.587597656250000655e-02,4.932873789176691304e+01
3.785669304000293778e+00,4.734606933593750178e+00,9.341015625000000100e-02,5.068621147492995505e+01
3.819434612000804918e+00,4.728022460937499893e+00,9.161621093749999778e-02,5.160683259606672380e+01
3.853050923000409966e+00,4.728935546875000284e+00,9.306298828124999478e-02,5.081435309796268029e+01
3.886885729000823630e+00,4.731960449218750142e+00,9.380029296875000422e-02,5.044718198050004077e+01
3.920687128000281518e+00,4.729829101562500249e+00,9.471435546874999722e-02,4.993782703956696167e+01
3.954472843000075954e+00,4.729519042968750142e+00,9.308007812499999312e-02,5.081129215015633349e+01
3.988338111000302888e+00,4.735239257812500213e+00,9.489697265624999489e-02,4.989873886667799496e+01
4.022319745999993756e+00,4.728205566406249893e+00,9.172070312499999711e-02,5.155003620025127020e+01
4.056196365000687365e+00,4.728461914062499716e+00,9.353759765624999889e-02,5.055145772975230045e+01
4.090151927000079013e+00,4.731706542968749929e+00,9.204736328125000255e-02,5.140512855877313569e+01
4.124116285000127391e+00,4.734311523437500391e+00,9.172265625000000644e-02,5.161550828329287555e+01
4.158113698000306613e+00,4.731113281249999858e+00,9.280957031250000600e-02,5.097656702126539585e+01
4.192688486000406556e+00,4.730371093749999645e+00,9.294482421874999956e-02,5.089440034462650431e+01
4.227543377000074543e+00,4.729326171874999929e+00,9.313916015624999767e-02,5.077698965656438901e+01
4.261051915000280133e+00,4.729274902343750142e+00,9.236425781250000300e-02,5.120243494993709277e+01
4.294633340000473254e+00,4.730517578125000178e+00,9.460449218750000000e-02,5.000309677419355125e+01
4.328393778000645398e+00,4.728898925781249929e+00,9.046875000000000056e-02,5.227107620898100038e+01
4.362136069000371208e+00,4.731145019531250107e+00,9.446777343749999944e-02,5.008210575282989652e+01
